groupname,variablename,x,y
myVariables,kf_1.x[0],11.937,16.70456505
myVariables,kf_1.x[0],12,16.74254417
myVariables,kf_1.x[0],12.062,16.66018295
myVariables,kf_1.x[0],12.125,16.66636086
myVariables,kf_1.x[0],12.187,16.71105003
myVariables,kf_1.x[0],12.25,16.79163742
myVariables,kf_1.x[0],12.312,16.70124245
myVariables,kf_1.x[0],12.375,16.6652317
myVariables,kf_1.x[0],12.437,16.5922699
myVariables,kf_1.x[0],12.5,16.64596558
myVariables,kf_1.x[0],12.562,16.61460876
myVariables,kf_1.x[0],12.625,16.70485115
myVariables,kf_1.x[0],12.687,16.7448616
myVariables,kf_1.x[0],12.75,16.78207588
myVariables,kf_1.x[0],12.812,16.69491005
myVariables,kf_1.x[0],12.875,16.73612976
myVariables,kf_1.x[0],12.937,16.73307419
myVariables,kf_1.x[0],13,16.73039055
myVariables,kf_1.x[0],13.062,16.76729584
myVariables,kf_1.x[0],13.125,16.7211895
myVariables,kf_1.x[0],13.187,16.71995163
myVariables,kf_1.x[0],13.25,16.71886444
myVariables,kf_1.x[0],13.312,16.67864609
myVariables,kf_1.x[0],13.375,16.68257904
myVariables,kf_1.x[0],13.437,16.72529602
myVariables,kf_1.x[0],13.5,16.7628212
myVariables,kf_1.x[0],13.562,16.7957859
myVariables,kf_1.x[0],13.625,16.70695305
myVariables,kf_1.x[0],13.687,16.66818237
myVariables,kf_1.x[0],13.75,16.71058464
myVariables,kf_1.x[0],13.812,16.70856857
myVariables,kf_1.x[0],13.875,16.66960144
myVariables,kf_1.x[0],13.937,16.63743782
myVariables,kf_1.x[0],14,16.68564224
myVariables,kf_1.x[0],14.062,16.68872452
myVariables,kf_1.x[0],14.125,16.73069572
myVariables,kf_1.x[0],14.187,16.64977646
myVariables,kf_1.x[0],14.25,16.57869339
myVariables,kf_1.x[0],14.312,16.51625061
myVariables,kf_1.x[0],14.375,16.53992462
myVariables,kf_1.x[0],14.437,16.59998322
myVariables,kf_1.x[0],14.5,16.57421494
myVariables,kf_1.x[0],14.562,16.59084129
myVariables,kf_1.x[0],14.625,16.52898788
myVariables,kf_1.x[0],14.687,16.51185036
myVariables,kf_1.x[0],14.75,16.45753288
myVariables,kf_1.x[0],14.812,16.44908142
myVariables,kf_1.x[0],14.875,16.55944633
myVariables,kf_1.x[0],14.937,16.49934196
myVariables,kf_1.x[0],15,16.44654465
myVariables,kf_1.x[0],15.062,16.40016556
myVariables,kf_1.x[0],15.125,16.35942459
myVariables,kf_1.x[0],15.187,16.40216064
myVariables,kf_1.x[0],15.25,16.40250587
myVariables,kf_1.x[0],15.312,16.47926903
myVariables,kf_1.x[0],15.375,16.46817398
myVariables,kf_1.x[0],15.437,16.49769211
myVariables,kf_1.x[0],15.5,16.52362061
myVariables,kf_1.x[0],15.562,16.54639816
myVariables,kf_1.x[0],15.625,16.48788071
myVariables,kf_1.x[0],15.687,16.55426598
myVariables,kf_1.x[0],15.75,16.53405571
myVariables,kf_1.x[0],15.812,16.6733532
myVariables,kf_1.x[0],15.875,16.63866615
myVariables,kf_1.x[0],15.937,16.60819626
myVariables,kf_1.x[0],16,16.62069321
myVariables,kf_1.x[0],16.062,16.59240723
myVariables,kf_1.x[0],16.125,16.68534851
myVariables,kf_1.x[0],16.187,16.7277298
myVariables,kf_1.x[0],16.25,16.72569656
myVariables,kf_1.x[0],16.312,16.72390938
myVariables,kf_1.x[0],16.375,16.72233963
myVariables,kf_1.x[0],16.437,16.72096062
myVariables,kf_1.x[0],16.5,16.75901222
myVariables,kf_1.x[0],16.562,16.79243851
myVariables,kf_1.x[0],16.625,16.90032768
myVariables,kf_1.x[0],16.687,16.87731361
myVariables,kf_1.x[0],16.75,16.85709763
myVariables,kf_1.x[0],16.812,16.79800987
myVariables,kf_1.x[0],16.875,16.82462883
myVariables,kf_1.x[0],16.937,16.77155304
myVariables,kf_1.x[0],17,16.72699547
myVariables,kf_1.x[0],17.062,16.80357742
myVariables,kf_1.x[0],17.125,16.87084961
myVariables,kf_1.x[0],17.187,16.85141945
myVariables,kf_1.x[0],17.25,16.83435059
myVariables,kf_1.x[0],17.312,16.81935692
myVariables,kf_1.x[0],17.375,16.80618477
myVariables,kf_1.x[0],17.437,16.83594322
myVariables,kf_1.x[0],17.5,16.82282257
myVariables,kf_1.x[0],17.562,16.84849358
myVariables,kf_1.x[0],17.625,16.83177948
myVariables,kf_1.x[0],17.687,16.77783585
myVariables,kf_1.x[0],17.75,16.76971245
myVariables,kf_1.x[0],17.812,16.72537994
myVariables,kf_1.x[0],17.875,16.64717293
myVariables,kf_1.x[0],17.937,16.61566925
myVariables,kf_1.x[0],18,16.70578384
myVariables,kf_1.x[0],18.062,16.70641708
myVariables,kf_1.x[0],18.125,16.70697403
myVariables,kf_1.x[0],18.187,16.70952988
myVariables,kf_1.x[0],18.25,16.70970917
myVariables,kf_1.x[0],18.312,16.75119591
myVariables,kf_1.x[0],18.375,16.6698513
myVariables,kf_1.x[0],18.437,16.71411705
myVariables,kf_1.x[0],18.5,16.75300026
myVariables,kf_1.x[0],18.562,16.74789429
myVariables,kf_1.x[0],18.625,16.70414734
myVariables,kf_1.x[0],18.687,16.70704651
myVariables,kf_1.x[0],18.75,16.63106728
myVariables,kf_1.x[0],18.812,16.60152054
myVariables,kf_1.x[0],18.875,16.73261833
myVariables,kf_1.x[0],18.937,16.80851555
myVariables,kf_1.x[0],19,16.79872894
myVariables,kf_1.x[0],19.062,16.78806496
myVariables,kf_1.x[0],19.125,16.77869797
myVariables,kf_1.x[0],19.187,16.69194221
myVariables,kf_1.x[0],19.25,16.65499496
myVariables,kf_1.x[0],19.312,16.70106506
myVariables,kf_1.x[0],19.375,16.74153519
myVariables,kf_1.x[0],19.437,16.73988914
myVariables,kf_1.x[0],19.5,16.65785217
myVariables,kf_1.x[0],19.562,16.66431236
myVariables,kf_1.x[0],19.625,16.59146118
myVariables,kf_1.x[0],19.687,16.56672859
myVariables,kf_1.x[0],19.75,16.70412064
myVariables,kf_1.x[0],19.812,16.78348351
myVariables,kf_1.x[0],19.875,16.77467346
myVariables,kf_1.x[0],19.937,16.76693344
myVariables,kf_1.x[0],20,16.76220131
myVariables,kf_1.x[0],20.062,16.75597763
myVariables,kf_1.x[0],20.125,16.67198372
myVariables,kf_1.x[0],20.187,16.75525284
myVariables,kf_1.x[0],20.25,16.74987411
myVariables,kf_1.x[0],20.312,16.74514961
myVariables,kf_1.x[0],20.375,16.70173645
myVariables,kf_1.x[0],20.437,16.66359901
myVariables,kf_1.x[0],20.5,16.632164
myVariables,kf_1.x[0],20.562,16.60455132
myVariables,kf_1.x[0],20.625,16.69601631
myVariables,kf_1.x[0],20.687,16.77636337
myVariables,kf_1.x[0],20.75,16.80768013
myVariables,kf_1.x[0],20.812,16.83725739
myVariables,kf_1.x[0],20.875,16.82397652
myVariables,kf_1.x[0],20.937,16.69245529
myVariables,kf_1.x[0],21,16.73397255
myVariables,kf_1.x[0],21.062,16.65265465
myVariables,kf_1.x[0],21.125,16.66181374
myVariables,kf_1.x[0],21.187,16.66779327
myVariables,kf_1.x[0],21.25,16.63378334
myVariables,kf_1.x[0],21.312,16.60390663
myVariables,kf_1.x[0],21.375,16.61692429
myVariables,kf_1.x[0],21.437,16.5498333
myVariables,kf_1.x[0],21.5,16.49089813
myVariables,kf_1.x[0],21.562,16.59617996
myVariables,kf_1.x[0],21.625,16.68866348
myVariables,kf_1.x[0],21.687,16.73064232
myVariables,kf_1.x[0],21.75,16.64972878
myVariables,kf_1.x[0],21.812,16.69643974
myVariables,kf_1.x[0],21.875,16.69820976
myVariables,kf_1.x[0],21.937,16.69976425
myVariables,kf_1.x[0],22,16.66186714
myVariables,kf_1.x[0],22.062,16.66783905
myVariables,kf_1.x[0],22.125,16.67308617
myVariables,kf_1.x[0],22.187,16.63843155
myVariables,kf_1.x[0],22.25,16.64725304
myVariables,kf_1.x[0],22.312,16.57854271
myVariables,kf_1.x[0],22.375,16.51818466
myVariables,kf_1.x[0],22.437,16.62221527
myVariables,kf_1.x[0],22.5,16.7115345
myVariables,kf_1.x[0],22.562,16.63294411
myVariables,kf_1.x[0],22.625,16.60316849
myVariables,kf_1.x[0],22.687,16.65760612
myVariables,kf_1.x[0],22.75,16.62483406
myVariables,kf_1.x[0],22.812,16.63530731
myVariables,kf_1.x[0],22.875,16.64450836
myVariables,kf_1.x[0],22.937,16.73111725
myVariables,kf_1.x[0],23,16.73073769
myVariables,kf_1.x[0],23.062,16.72833824
myVariables,kf_1.x[0],23.125,16.68903351
myVariables,kf_1.x[0],23.187,16.6917038
myVariables,kf_1.x[0],23.25,16.73331261
myVariables,kf_1.x[0],23.312,16.77193069
myVariables,kf_1.x[0],23.375,16.84305
myVariables,kf_1.x[0],23.437,16.78773499
myVariables,kf_1.x[0],23.5,16.78047371
myVariables,kf_1.x[0],23.562,16.77202797
myVariables,kf_1.x[0],23.625,16.72534752
myVariables,kf_1.x[0],23.687,16.68640709
myVariables,kf_1.x[0],23.75,16.6893959
myVariables,kf_1.x[0],23.812,16.65275955
myVariables,kf_1.x[0],23.875,16.6991024
myVariables,kf_1.x[0],23.937,16.73981094
myVariables,kf_1.x[0],24,16.73630905
myVariables,kf_1.x[0],24.062,16.73529816
myVariables,kf_1.x[0],24.125,16.77160835
myVariables,kf_1.x[0],24.187,16.80143738
myVariables,kf_1.x[0],24.25,16.86897087
myVariables,kf_1.x[0],24.312,16.85183525
myVariables,kf_1.x[0],24.375,16.83471489
myVariables,kf_1.x[0],24.437,16.82174301
myVariables,kf_1.x[0],24.5,16.80828094
myVariables,kf_1.x[0],24.562,16.7199955
myVariables,kf_1.x[0],24.625,16.79742813
myVariables,kf_1.x[0],24.687,16.90264511
myVariables,kf_1.x[0],24.75,16.84008598
myVariables,kf_1.x[0],24.812,16.863657
myVariables,kf_1.x[0],24.875,16.88436317
myVariables,kf_1.x[0],24.937,16.82402611
myVariables,kf_1.x[0],25,16.81028748
myVariables,kf_1.x[0],25.062,16.79821777
myVariables,kf_1.x[0],25.125,16.86614227
myVariables,kf_1.x[0],25.187,16.84728432
myVariables,kf_1.x[0],25.25,16.86998177
myVariables,kf_1.x[0],25.312,16.81139374
myVariables,kf_1.x[0],25.375,16.80125618
myVariables,kf_1.x[0],25.437,16.71175957
myVariables,kf_1.x[0],25.5,16.63314056
myVariables,kf_1.x[0],25.562,16.60334206
myVariables,kf_1.x[0],25.625,16.5771656
myVariables,kf_1.x[0],25.687,16.5169754
myVariables,kf_1.x[0],25.75,16.57982445
myVariables,kf_1.x[0],25.812,16.55650711
myVariables,kf_1.x[0],25.875,16.57735252
myVariables,kf_1.x[0],25.937,16.59359932
myVariables,kf_1.x[0],26,16.60580444
myVariables,kf_1.x[0],26.062,16.69711685
myVariables,kf_1.x[0],26.125,16.73806763
myVariables,kf_1.x[0],26.187,16.77404022
myVariables,kf_1.x[0],26.25,16.72711372
myVariables,kf_1.x[0],26.312,16.68589211
myVariables,kf_1.x[0],26.375,16.72820663
myVariables,kf_1.x[0],26.437,16.76537895
myVariables,kf_1.x[0],26.5,16.87449074
myVariables,kf_1.x[0],26.562,16.77609062
myVariables,kf_1.x[0],26.625,16.80744171
myVariables,kf_1.x[0],26.687,16.79778481
myVariables,kf_1.x[0],26.75,16.74797249
myVariables,kf_1.x[0],26.812,16.74347878
myVariables,kf_1.x[0],26.875,16.73953056
myVariables,kf_1.x[0],26.937,16.81458855
myVariables,kf_1.x[0],27,16.841259
myVariables,kf_1.x[0],27.062,16.86468887
myVariables,kf_1.x[0],27.125,16.80674362
myVariables,kf_1.x[0],27.187,16.75584221
myVariables,kf_1.x[0],27.25,16.78965378
myVariables,kf_1.x[0],27.312,16.81935501
myVariables,kf_1.x[0],27.375,16.76898766
myVariables,kf_1.x[0],27.437,16.87972832
myVariables,kf_1.x[0],27.5,16.78275871
myVariables,kf_1.x[0],27.562,16.69551086
myVariables,kf_1.x[0],27.625,16.69739342
myVariables,kf_1.x[0],27.687,16.65978432
myVariables,kf_1.x[0],27.75,16.62674713
myVariables,kf_1.x[0],27.812,16.75477791
myVariables,kf_1.x[0],27.875,16.71019363
myVariables,kf_1.x[0],27.937,16.63176537
myVariables,kf_1.x[0],28,16.6021347
myVariables,kf_1.x[0],28.062,16.57610512
myVariables,kf_1.x[0],28.125,16.59250259
myVariables,kf_1.x[0],28.187,16.64616966
myVariables,kf_1.x[0],28.25,16.73464203
myVariables,kf_1.x[0],28.312,16.84955788
myVariables,kf_1.x[0],28.375,16.79551888
myVariables,kf_1.x[0],28.437,16.70671844
myVariables,kf_1.x[0],28.5,16.58945084
myVariables,kf_1.x[0],28.562,16.56702995
myVariables,kf_1.x[0],28.625,16.50600433
myVariables,kf_1.x[0],28.687,16.64871216
myVariables,kf_1.x[0],28.75,16.73480988
myVariables,kf_1.x[0],28.812,16.65338898
myVariables,kf_1.x[0],28.875,16.69965553
myVariables,kf_1.x[0],28.937,16.66177177
myVariables,kf_1.x[0],29,16.63055992
myVariables,kf_1.x[0],29.062,16.64240456
myVariables,kf_1.x[0],29.125,16.65074348
myVariables,kf_1.x[0],29.187,16.73659325
myVariables,kf_1.x[0],29.25,16.73348236
myVariables,kf_1.x[0],29.312,16.84853935
myVariables,kf_1.x[0],29.375,16.79255676
myVariables,kf_1.x[0],29.437,16.78264236
myVariables,kf_1.x[0],29.5,16.81319618
myVariables,kf_1.x[0],29.562,16.87929916
myVariables,kf_1.x[0],29.625,16.9745636
myVariables,kf_1.x[0],29.687,17.02105141
myVariables,kf_1.x[0],29.75,16.90483665
myVariables,kf_1.x[0],29.812,16.88127518
myVariables,kf_1.x[0],29.875,16.78205109
myVariables,kf_1.x[0],29.937,16.7362175
myVariables,kf_1.x[0],30,16.73521805
myVariables,kf_1.x[0],30.062,16.81286621
myVariables,kf_1.x[0],30.125,16.80254936
myVariables,kf_1.x[0],30.187,16.79141998
myVariables,kf_1.x[0],30.25,16.78164482
myVariables,kf_1.x[0],30.312,16.65526772
myVariables,kf_1.x[0],30.375,16.70130539
myVariables,kf_1.x[0],30.437,16.7417469
myVariables,kf_1.x[0],30.5,16.81653595
myVariables,kf_1.x[0],30.562,16.92149544
myVariables,kf_1.x[0],30.625,16.85664558
myVariables,kf_1.x[0],30.687,16.76041603
myVariables,kf_1.x[0],30.75,16.75440979
myVariables,kf_1.x[0],30.812,16.67060661
myVariables,kf_1.x[0],30.875,16.75197601
myVariables,kf_1.x[0],30.937,16.74699593
myVariables,kf_1.x[0],31,16.78188324
myVariables,kf_1.x[0],31.062,16.81253052
myVariables,kf_1.x[0],31.125,16.79812241
myVariables,kf_1.x[0],31.187,16.74827003
myVariables,kf_1.x[0],31.25,16.74374008
myVariables,kf_1.x[0],31.312,16.73975945
myVariables,kf_1.x[0],31.375,16.81478882
myVariables,kf_1.x[0],31.437,16.80217171
myVariables,kf_1.x[0],31.5,16.75182533
myVariables,kf_1.x[0],31.562,16.66833687
myVariables,kf_1.x[0],31.625,16.63632584
myVariables,kf_1.x[0],31.687,16.68260002
myVariables,kf_1.x[0],31.75,16.76457787
myVariables,kf_1.x[0],31.812,16.76013184
myVariables,kf_1.x[0],31.875,16.87194824
myVariables,kf_1.x[0],31.937,16.77385712
myVariables,kf_1.x[0],32,16.68769073
myVariables,kf_1.x[0],32.062,16.69052505
myVariables,kf_1.x[0],32.125,16.65375137
myVariables,kf_1.x[0],32.187,16.7784996
myVariables,kf_1.x[0],32.25,16.77029419
myVariables,kf_1.x[0],32.312,16.72588921
myVariables,kf_1.x[0],32.375,16.72407913
myVariables,kf_1.x[0],32.437,16.7224884
myVariables,kf_1.x[0],32.5,16.68182945
myVariables,kf_1.x[0],32.562,16.72463799
myVariables,kf_1.x[0],32.625,16.64445496
myVariables,kf_1.x[0],32.687,16.65254402
myVariables,kf_1.x[0],32.75,16.6596489
myVariables,kf_1.x[0],32.812,16.74441719
myVariables,kf_1.x[0],32.875,16.66182899
myVariables,kf_1.x[0],32.937,16.62854385
myVariables,kf_1.x[0],33,16.56004143
myVariables,kf_1.x[0],33.062,16.54119492
myVariables,kf_1.x[0],33.125,16.56183624
myVariables,kf_1.x[0],33.187,16.69775772
myVariables,kf_1.x[0],33.25,16.73863029
myVariables,kf_1.x[0],33.312,16.73527145
myVariables,kf_1.x[0],33.375,16.65379524
myVariables,kf_1.x[0],33.437,16.62355232
myVariables,kf_1.x[0],33.5,16.67344475
myVariables,kf_1.x[0],33.562,16.75860214
myVariables,kf_1.x[0],33.625,16.75488281
myVariables,kf_1.x[0],33.687,16.74954796
myVariables,kf_1.x[0],33.75,16.82338905
myVariables,kf_1.x[0],33.812,16.73120117
myVariables,kf_1.x[0],33.875,16.6915493
myVariables,kf_1.x[0],33.937,16.61538696
myVariables,kf_1.x[0],34,16.62701035
myVariables,kf_1.x[0],34.062,16.59795761
myVariables,kf_1.x[0],34.125,16.61169815
myVariables,kf_1.x[0],34.187,16.58450699
myVariables,kf_1.x[0],34.25,16.52342415
myVariables,kf_1.x[0],34.312,16.50902939
myVariables,kf_1.x[0],34.375,16.57284355
myVariables,kf_1.x[0],34.437,16.55450821
myVariables,kf_1.x[0],34.5,16.5735302
myVariables,kf_1.x[0],34.562,16.59024048
myVariables,kf_1.x[0],34.625,16.52639389
myVariables,kf_1.x[0],34.687,16.58809662
myVariables,kf_1.x[0],34.75,16.56377411
myVariables,kf_1.x[0],34.812,16.50314522
myVariables,kf_1.x[0],34.875,16.48914909
myVariables,kf_1.x[0],34.937,16.5161171
myVariables,kf_1.x[0],35,16.50054359
myVariables,kf_1.x[0],35.062,16.56538963
myVariables,kf_1.x[0],35.125,16.58308983
myVariables,kf_1.x[0],35.187,16.52011299
myVariables,kf_1.x[0],35.25,16.50612068
myVariables,kf_1.x[0],35.312,16.5702877
myVariables,kf_1.x[0],35.375,16.50886726
myVariables,kf_1.x[0],35.437,16.53343773
myVariables,kf_1.x[0],35.5,16.47649574
myVariables,kf_1.x[0],35.562,16.54426384
myVariables,kf_1.x[0],35.625,16.52526855
myVariables,kf_1.x[0],35.687,16.4693203
myVariables,kf_1.x[0],35.75,16.45943451
myVariables,kf_1.x[0],35.812,16.49001503
myVariables,kf_1.x[0],35.875,16.47761536
myVariables,kf_1.x[0],35.937,16.54524803
myVariables,kf_1.x[0],36,16.56539726
myVariables,kf_1.x[0],36.062,16.54590034
myVariables,kf_1.x[0],36.125,16.5267067
myVariables,kf_1.x[0],36.187,16.58837128
myVariables,kf_1.x[0],36.25,16.52475166
myVariables,kf_1.x[0],36.312,16.66518021
myVariables,kf_1.x[0],36.375,16.67074966
myVariables,kf_1.x[0],36.437,16.59711647
myVariables,kf_1.x[0],36.5,16.65228844
